location_id,location_name,x_km,y_km,demand_kg,service_time
DEPOT,Kho_Trung_Tam,20.0,25.0,0.0,0.0
C001,1,22.5,34.0,2.9,2.0
C002,2,22.5,35.0,2.2,6.0
C003,3,21.0,33.0,2.6,2.0
C004,4,21.0,34.0,0.2,2.0
C005,5,21.0,32.5,1.8,2.0
C006,6,20.0,34.5,2.5,4.0
C007,7,20.0,33.0,3.3,4.0
C008,8,19.0,34.0,1.0,4.0
C009,9,19.0,35.0,2.2,2.0
C010,10,17.5,33.0,2.0,2.0
C011,11,17.5,34.5,1.4,2.0
C012,12,12.5,42.5,2.0,4.0
C013,13,11.0,37.5,2.8,6.0
C014,14,11.0,42.5,4.1,2.0
C015,15,10.0,40.0,1.5,8.0
C016,16,10.0,42.5,1.8,8.0
C017,17,9.0,37.5,2.4,4.0
C018,18,7.5,37.5,2.1,4.0
C019,19,7.5,40.0,0.2,2.0
C020,20,15.0,25.0,2.3,2.0
C021,21,15.0,26.0,3.6,4.0
C022,22,14.0,26.0,3.2,4.0
C023,23,14.0,27.5,1.3,2.0
C024,24,12.5,25.0,1.7,2.0
C025,25,12.5,26.0,1.2,8.0
C026,26,12.5,27.5,2.9,2.0
C027,27,11.5,26.0,3.3,2.0
C028,28,11.5,27.5,1.0,4.0
C029,29,10.0,25.0,2.7,2.0
C030,30,10.0,27.5,2.8,2.0
C031,31,5.0,17.5,4.5,4.0
C032,32,5.0,20.0,2.9,6.0
C033,33,4.0,20.0,2.3,8.0
C034,34,4.0,22.5,2.8,4.0
C035,35,2.5,17.5,2.1,2.0
C036,36,2.5,22.5,3.2,2.0
C037,37,1.0,20.0,2.6,4.0
C038,38,0.0,20.0,2.8,6.0
C039,39,0.0,22.5,0.8,4.0
C040,40,17.5,15.0,1.3,2.0
C041,41,17.5,16.0,5.0,2.0
C042,42,16.5,16.0,0.3,4.0
C043,43,16.5,17.5,1.6,2.0
C044,44,16.0,15.0,2.6,2.0
C045,45,15.0,15.0,1.6,2.0
C046,46,15.0,16.0,3.3,6.0
C047,47,15.0,17.5,4.3,2.0
C048,48,14.0,15.0,2.8,2.0
C049,49,14.0,17.5,2.9,2.0
C050,50,13.0,16.0,3.2,2.0
C051,51,12.5,15.0,4.0,2.0
C052,52,12.5,17.5,0.8,2.0
C053,53,22.0,2.5,4.1,4.0
C054,54,21.0,5.0,1.0,8.0
C055,55,21.0,7.5,1.7,2.0
C056,56,20.0,2.5,3.3,6.0
C057,57,20.0,7.5,3.8,8.0
C058,58,19.0,2.5,2.4,6.0
C059,59,19.0,7.5,2.5,2.0
C060,60,17.5,2.5,3.0,4.0
C061,61,25.0,15.0,1.4,2.0
C062,62,25.0,17.5,2.0,4.0
C063,63,25.0,20.0,1.8,10.0
C064,64,24.0,15.0,2.6,2.0
C065,65,24.0,20.0,2.7,2.0
C066,66,23.5,17.5,4.0,2.0
C067,67,23.5,20.0,2.2,2.0
C068,68,22.5,15.0,2.8,2.0
C069,69,22.5,17.5,3.3,2.0
C070,70,47.5,15.0,2.6,6.0
C071,71,47.5,17.5,2.8,4.0
