day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,expected_day
1,C162,2.6,4.0,25.0,17.5,4
1,C212,2.7,3.8,25.0,17.5,3
1,C511,1.4,8.0,4.0,20.0,2
1,C436,2.0,8.0,32.5,42.5,7
1,C546,2.9,2.0,9.0,40.0,6
1,C054,1.0,8.0,21.0,5.0,4
1,C173,4.4,2.0,46.0,15.0,5
1,C229,1.7,1.8,32.0,21.0,4
1,C111,2.9,2.0,17.5,34.5,6
1,C565,1.9,3.2,17.5,20.0,7
1,C257,0.9,1.4,16.0,6.0,2
1,C190,2.8,2.0,30.0,27.5,5
1,C167,1.9,2.0,23.5,20.0,2
1,C108,1.3,4.0,17.0,30.0,3
1,C593,2.3,0.6,30.5,26.0,4
1,C427,0.7,4.0,47.5,17.5,7
1,C215,1.6,1.6,15.0,2.5,2
1,C117,2.1,4.0,9.0,37.5,4
1,C236,2.0,1.0,1.0,30.0,2
1,C028,1.0,4.0,11.5,27.5,2
1,C023,1.3,2.0,14.0,27.5,3
1,C365,3.3,4.0,31.0,38.5,2
1,C443,1.8,4.0,27.5,42.5,5
1,C219,1.3,3.4,7.5,30.0,3
1,C568,1.5,4.2,20.0,30.0,7
1,C017,2.4,4.0,9.0,37.5,5
1,C176,3.6,2.0,45.0,17.5,3
1,C175,2.3,4.0,22.5,32.5,6
1,C260,1.5,0.6,8.5,17.0,3
1,C342,4.2,1.0,12.0,6.0,3
1,C475,1.2,3.2,2.5,2.5,7
1,C456,1.7,3.8,25.0,17.5,7
1,C078,1.5,4.0,44.0,17.5,3
1,C390,2.3,0.6,15.5,33.5,7
1,C501,3.0,4.0,12.5,42.5,5
1,C578,4.5,5.4,4.0,28.0,5
1,C304,2.0,3.8,27.5,10.0,3
1,C542,0.8,2.0,27.5,40.0,5
1,C470,2.7,4.6,17.5,34.5,6
1,C548,1.4,2.0,21.0,2.5,4
1,C525,3.4,4.0,17.5,2.5,0
1,C024,1.7,2.0,12.5,25.0,5
1,C502,0.4,6.0,11.0,37.5,0
1,C076,2.4,2.0,45.0,17.5,7
1,C188,2.6,6.0,32.5,30.0,5
1,C560,3.2,3.4,7.5,30.0,6
1,C333,1.6,2.2,26.5,26.0,2
1,C266,1.6,5.0,24.5,36.5,6
1,C522,3.1,8.0,20.0,7.5,2
1,C441,3.6,4.0,29.0,37.5,5
1,C070,2.6,6.0,47.5,15.0,7
1,C478,3.2,5.4,4.0,28.0,2
1,C339,1.5,6.2,30.0,6.0,6
1,C272,2.8,5.0,23.5,8.0,3
1,C122,2.5,4.0,14.0,26.0,2
1,C254,3.5,3.6,28.5,14.5,3
1,C447,5.7,2.0,1.0,22.5,4
1,C573,1.5,1.0,1.0,30.0,2
1,C539,1.9,2.0,30.0,40.0,7
1,C282,0.4,3.2,7.5,23.5,3
1,C325,1.6,1.2,32.5,10.0,3
1,C064,2.6,2.0,24.0,15.0,7
1,C185,1.7,6.0,43.0,23.0,5
1,C085,1.8,6.0,34.0,30.0,5
1,C594,1.3,4.6,28.5,24.0,5
1,C089,3.0,2.0,31.5,29.0,3
1,C193,4.3,8.0,21.0,29.0,2
1,C243,2.4,1.4,11.5,1.5,2
1,C346,2.6,0.2,1.0,24.0,6
1,C109,3.1,2.0,14.0,35.0,5
1,C450,5.7,6.0,36.0,17.5,4
1,C192,0.5,4.0,33.5,42.5,6
1,C247,0.8,5.4,4.0,28.0,5
1,C430,2.1,2.0,44.0,15.0,7
1,C547,4.3,2.0,1.0,22.5,4
1,C196,2.8,2.0,31.0,20.0,3
1,C417,0.7,4.0,0.0,22.5,5
1,C541,0.9,4.0,29.0,37.5,7
1,C503,2.2,2.0,11.0,42.5,6
1,C034,2.8,4.0,4.0,22.5,2
1,C531,3.6,4.0,44.0,17.5,5
1,C513,2.3,2.0,2.5,17.5,4
1,C113,2.4,6.0,11.0,37.5,3
1,C575,1.4,3.2,2.5,2.5,0
1,C310,1.3,3.2,15.0,30.0,2
1,C213,4.2,4.6,15.0,12.5,2
1,C505,2.3,4.0,10.0,42.5,7
1,C256,1.6,1.2,26.5,6.0,3
1,C510,2.6,6.0,5.0,20.0,2
1,C370,3.8,1.0,18.5,28.0,2
1,C311,2.7,2.4,10.0,32.5,4
1,C171,2.9,4.0,47.5,17.5,7
1,C187,3.8,4.0,32.0,23.0,3
1,C067,2.2,2.0,23.5,20.0,2
1,C553,2.3,1.0,10.0,25.0,5
1,C577,1.2,1.4,11.5,1.5,4
1,C465,3.1,3.2,17.5,20.0,4
1,C383,2.6,2.2,7.0,18.5,5
1,C462,2.8,0.6,32.5,17.5,4
1,C134,1.3,4.0,4.0,22.5,2
1,C526,4.0,6.0,47.5,15.0,7
1,C048,2.8,2.0,14.0,15.0,3
1,C288,2.1,1.8,13.0,26.0,2
1,C100,2.4,4.0,27.5,42.5,7
1,C355,3.7,0.4,31.5,11.5,6
1,C504,1.7,8.0,10.0,40.0,6
1,C026,2.9,2.0,12.5,27.5,2
1,C084,1.3,4.0,35.0,29.0,4
1,C218,3.0,2.4,10.0,20.0,6
1,C439,2.9,2.0,30.0,40.0,6
1,C428,1.6,2.0,46.0,15.0,5
1,C014,4.1,2.0,11.0,42.5,5
1,C016,1.8,8.0,10.0,42.5,7
1,C092,3.4,4.0,33.5,42.5,7
1,C269,2.1,1.2,18.5,23.5,2
1,C082,2.5,4.0,37.5,27.5,0
1,C126,3.2,2.0,4.0,31.0,6
1,C589,1.0,5.0,33.5,2.5,5
1,C318,2.9,2.4,10.0,20.0,0
1,C123,3.4,2.0,7.0,33.0,5
1,C382,2.4,3.2,7.5,23.5,2
