day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,expected_day
1,C028,2.2,5.0,-12.5132,0.3412,7
1,C218,4.4,7.0,7.7234,9.1566,3
1,C074,4.5,5.0,14.9908,13.1857,6
1,C210,3.1,10.0,-10.5241,-8.9753,3
1,C289,2.6,10.0,-18.955,4.5624,4
1,C224,2.2,10.0,7.011,9.3299,3
1,C239,4.9,10.0,-18.2455,8.6315,3
1,C071,3.7,10.0,5.9263,11.8505,2
1,C076,1.6,5.0,17.6947,11.1087,5
1,C221,4.4,10.0,-19.3789,5.4219,3
1,C270,1.7,10.0,-9.9892,-10.4332,4
1,C151,3.0,10.0,-18.3912,7.0516,3
1,C185,3.0,7.0,-10.6505,21.3843,6
1,C268,1.2,10.0,-19.6353,8.1776,5
1,C055,0.9,5.0,6.833,9.3573,2
1,C142,2.5,5.0,-13.183,-9.9102,5
1,C273,4.8,5.0,-12.2842,-19.8247,7
1,C297,2.5,7.0,8.5242,11.5551,3
1,C136,4.2,5.0,-19.6129,5.3979,2
1,C134,1.7,10.0,8.5265,10.0032,3
1,C234,1.4,5.0,-10.8773,-10.1991,3
1,C048,1.2,7.0,14.4918,18.9853,4
1,C180,2.5,10.0,-12.4738,-9.5483,5
1,C112,0.6,10.0,6.0077,11.5743,2
1,C263,1.3,10.0,-9.6649,14.6702,6
1,C120,1.8,7.0,-13.4448,-9.66,6
1,C267,3.7,10.0,-11.3231,-7.4274,4
1,C108,1.6,7.0,-10.2142,-9.5555,3
1,C261,3.1,7.0,-13.2561,-8.8292,7
1,C125,1.3,10.0,-10.6294,-9.4201,3
1,C260,4.3,7.0,-18.9388,6.4093,3
1,C188,3.1,10.0,-8.372,-9.6697,3
1,C223,2.5,10.0,-21.934,3.7904,3
1,C123,3.3,5.0,-19.5009,4.7325,2
1,C235,3.4,10.0,-20.3658,7.3608,2
1,C173,3.4,7.0,3.5463,-14.1827,4
1,C157,3.2,10.0,-12.258,-12.5545,6
1,C006,2.1,7.0,-20.4664,5.4346,3
1,C049,4.6,5.0,-10.9468,-10.3843,3
1,C296,0.9,10.0,20.0479,15.0227,5
1,C220,4.1,7.0,15.3937,-9.1219,6
1,C193,1.2,5.0,6.3179,13.0197,7
1,C149,4.2,7.0,-18.412,5.1033,4
1,C171,4.8,10.0,3.1253,14.9596,5
1,C240,3.5,5.0,-20.9364,9.8038,2
1,C148,3.2,10.0,7.6342,7.148,2
1,C262,3.4,5.0,4.7201,14.1789,7
1,C062,1.1,7.0,-10.8736,-10.2868,3
1,C209,4.3,5.0,-10.2695,-8.0837,6
1,C191,4.4,7.0,-20.6136,4.8241,6
1,C276,4.1,5.0,8.4619,10.0797,2
1,C042,2.4,7.0,-16.7515,-13.7854,7
1,C079,4.2,7.0,-11.5356,15.9674,7
1,C047,3.4,10.0,-16.7109,15.8505,6
1,C016,0.8,10.0,-4.1076,13.5831,4
1,C078,4.0,5.0,-9.6915,13.837,3
1,C093,1.9,5.0,-19.2006,6.6267,6
1,C244,2.8,10.0,-12.3227,-13.564,7
1,C057,0.7,5.0,3.2799,3.1025,2
1,C133,3.7,7.0,13.6611,6.0373,7
1,C277,4.6,7.0,-20.0011,-20.3804,7
1,C009,0.8,10.0,6.4673,7.6493,3
1,C169,0.9,5.0,-0.2579,0.021,6
1,C202,2.1,7.0,-10.2355,-8.6392,3
1,C207,0.8,7.0,-16.4795,4.8421,6
1,C061,5.0,5.0,6.0933,9.9573,3
1,C064,2.9,10.0,7.6157,13.6791,7
1,C241,3.1,5.0,-19.4548,7.665,3
1,C014,1.7,10.0,-11.3305,-10.9265,3
1,C117,2.9,7.0,19.9788,18.6813,2
1,C056,4.4,7.0,5.0627,9.8748,3
1,C214,1.6,10.0,6.2883,10.6562,4
1,C294,3.4,7.0,7.6771,9.3612,2
1,C204,4.4,10.0,6.8601,11.6683,2
1,C118,0.9,7.0,-18.4058,5.4628,4
1,C205,1.1,7.0,7.1408,11.0709,3
1,C172,2.6,10.0,-20.341,6.325,6
1,C194,2.0,5.0,7.5265,10.4947,2
1,C072,4.6,10.0,5.1588,12.872,2
1,C012,1.7,10.0,6.9917,12.9769,7
1,C165,2.4,10.0,-19.5368,5.4736,2
1,C222,2.1,7.0,12.6586,20.8066,2
1,C189,2.0,10.0,-0.6508,-2.3801,3
1,C197,3.4,7.0,-11.8185,-9.104,7
1,C122,0.7,5.0,7.9441,10.8188,2
1,C098,1.6,7.0,-18.5138,4.5809,5
1,C282,2.0,5.0,-19.7915,6.8497,6
1,C139,1.8,10.0,-14.0168,-8.8716,6
1,C099,3.3,5.0,-3.5558,-19.0211,4
1,C053,0.8,7.0,8.1435,9.645,3
1,C132,4.2,5.0,-10.4882,-8.4245,4
1,C196,4.0,7.0,-17.6701,20.9262,7
1,C037,0.6,10.0,-13.3676,-11.8649,6
1,C073,1.1,7.0,-14.6252,3.674,3
1,C298,2.1,7.0,-20.6379,5.3226,7
1,C038,0.8,10.0,-17.6268,7.5652,3
1,C299,3.6,5.0,-15.0909,-10.4768,6
2,C181,3.2,5.0,6.5753,10.1821,6
2,C131,0.8,10.0,-9.7336,-9.0642,3
2,C262,3.4,5.0,4.7201,14.1789,7
2,C087,3.8,5.0,5.4253,11.888,6
2,C146,1.4,5.0,6.3281,10.6057,3
2,C103,3.5,10.0,-8.5472,-8.6448,3
2,C090,2.0,10.0,-10.2849,-9.5835,4
2,C028,2.2,5.0,-12.5132,0.3412,7
2,C278,3.7,7.0,-11.3879,-7.5089,4
2,C062,1.1,7.0,-10.8736,-10.2868,3
2,C050,1.7,7.0,-12.3111,-7.5497,6
2,C229,3.5,10.0,-13.0658,-10.0492,4
2,C046,4.4,5.0,-22.8381,6.3616,4
2,C074,4.5,5.0,14.9908,13.1857,6
2,C217,2.0,7.0,-12.3819,-9.328,3
2,C263,1.3,10.0,-9.6649,14.6702,6
2,C120,1.8,7.0,-13.4448,-9.66,6
2,C162,3.6,7.0,-13.0998,-15.4298,3
2,C137,3.2,7.0,-1.4667,-11.4052,6
2,C108,1.6,7.0,-10.2142,-9.5555,3
2,C039,4.4,5.0,-18.1765,6.0882,4
2,C271,1.8,10.0,-17.6075,7.286,3
2,C001,0.6,5.0,-11.7188,-9.1881,4
2,C211,2.3,5.0,5.9452,10.5091,3
2,C168,3.6,10.0,-10.7832,-11.6564,4
2,C026,4.4,7.0,8.9911,9.7604,6
2,C238,4.0,10.0,-18.9644,6.2493,3
2,C260,4.3,7.0,-18.9388,6.4093,3
2,C226,1.5,5.0,7.0944,11.9617,6
2,C189,2.0,10.0,-0.6508,-2.3801,3
2,C159,3.3,10.0,-8.0884,21.8201,6
2,C183,2.6,5.0,-20.8204,6.8045,5
2,C213,1.5,7.0,11.4598,17.9419,6
2,C042,2.4,7.0,-16.7515,-13.7854,7
2,C293,4.8,10.0,7.3986,13.8103,7
2,C197,3.4,7.0,-11.8185,-9.104,7
2,C274,1.0,7.0,-14.2443,-8.2501,5
2,C011,4.3,5.0,5.1425,9.0134,3
2,C047,3.4,10.0,-16.7109,15.8505,6
2,C021,1.2,5.0,-22.7947,6.5572,3
2,C069,4.2,5.0,-13.3247,-10.0755,3
2,C163,3.7,10.0,-13.448,-10.4392,5
2,C076,1.6,5.0,17.6947,11.1087,5
2,C244,2.8,10.0,-12.3227,-13.564,7
2,C132,4.2,5.0,-10.4882,-8.4245,4
2,C223,2.5,10.0,-21.934,3.7904,3
2,C170,1.6,5.0,6.4082,10.862,5
2,C151,3.0,10.0,-18.3912,7.0516,3
2,C185,3.0,7.0,-10.6505,21.3843,6
2,C035,1.4,7.0,7.0543,9.7295,3
2,C094,3.4,7.0,7.7056,9.3941,6
2,C133,3.7,7.0,13.6611,6.0373,7
2,C277,4.6,7.0,-20.0011,-20.3804,7
2,C246,2.3,10.0,-0.8735,-19.5556,3
2,C196,4.0,7.0,-17.6701,20.9262,7
2,C287,3.9,7.0,8.8322,10.4249,5
2,C177,4.4,5.0,-14.5457,-6.4558,6
2,C176,0.9,7.0,-13.4325,-7.3692,3
2,C009,0.8,10.0,6.4673,7.6493,3
2,C169,0.9,5.0,-0.2579,0.021,6
2,C073,1.1,7.0,-14.6252,3.674,3
2,C060,2.6,5.0,-12.1589,-12.3809,3
2,C157,3.2,10.0,-12.258,-12.5545,6
2,C006,2.1,7.0,-20.4664,5.4346,3
2,C104,3.3,10.0,-12.678,-10.4272,7
2,C124,3.0,5.0,-21.5218,6.3056,3
2,C195,0.6,5.0,-12.4253,-7.884,6
2,C220,4.1,7.0,15.3937,-9.1219,6
2,C127,3.1,7.0,-12.9649,-12.3179,6
3,C262,3.4,5.0,4.7201,14.1789,7
3,C089,3.7,7.0,-19.4528,3.5242,4
3,C028,2.2,5.0,-12.5132,0.3412,7
3,C212,4.6,10.0,19.6829,12.3927,7
3,C050,1.7,7.0,-12.3111,-7.5497,6
3,C232,2.5,5.0,-21.0298,6.7473,4
3,C046,4.4,5.0,-22.8381,6.3616,4
3,C200,0.9,10.0,-2.7441,10.988,7
3,C263,1.3,10.0,-9.6649,14.6702,6
3,C118,0.9,7.0,-18.4058,5.4628,4
3,C120,1.8,7.0,-13.4448,-9.66,6
3,C191,4.4,7.0,-20.6136,4.8241,6
3,C137,3.2,7.0,-1.4667,-11.4052,6
3,C208,3.6,7.0,-13.3957,-11.6973,6
3,C172,2.6,10.0,-20.341,6.325,6
3,C036,2.8,5.0,-2.5726,6.6738,6
3,C001,0.6,5.0,-11.7188,-9.1881,4
3,C023,4.4,5.0,7.6107,11.7627,5
3,C012,1.7,10.0,6.9917,12.9769,7
3,C104,3.3,10.0,-12.678,-10.4272,7
3,C250,3.2,5.0,10.1979,8.3251,5
3,C197,3.4,7.0,-11.8185,-9.104,7
3,C042,2.4,7.0,-16.7515,-13.7854,7
3,C293,4.8,10.0,7.3986,13.8103,7
3,C282,2.0,5.0,-19.7915,6.8497,6
3,C242,3.8,10.0,-21.0002,9.8649,4
3,C139,1.8,10.0,-14.0168,-8.8716,6
3,C099,3.3,5.0,-3.5558,-19.0211,4
3,C082,3.6,10.0,-11.3965,-12.6068,7
3,C076,1.6,5.0,17.6947,11.1087,5
3,C244,2.8,10.0,-12.3227,-13.564,7
3,C285,1.7,5.0,-21.2053,6.8205,4
3,C185,3.0,7.0,-10.6505,21.3843,6
3,C121,0.7,7.0,10.3494,-1.3222,6
3,C133,3.7,7.0,13.6611,6.0373,7
3,C281,2.9,7.0,3.6935,-11.4296,4
3,C037,0.6,10.0,-13.3676,-11.8649,6
3,C287,3.9,7.0,8.8322,10.4249,5
3,C177,4.4,5.0,-14.5457,-6.4558,6
3,C273,4.8,5.0,-12.2842,-19.8247,7
3,C207,0.8,7.0,-16.4795,4.8421,6
3,C173,3.4,7.0,3.5463,-14.1827,4
3,C157,3.2,10.0,-12.258,-12.5545,6
3,C029,3.2,7.0,17.3926,18.8101,7
3,C296,0.9,10.0,20.0479,15.0227,5
