day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,window_start,window_end,service_start,service_end,distance_moved
1,DEPOT,0.0,0.0,20.0,25.0,,,0.0,0.0,0.0
1,C275,1.7,3.6,24.5,5.5,495.0,774.0,495.0,498.6,20.0125
1,C284,4.4,1.4,5.5,15.5,525.0,847.0,525.0,526.4,41.4834
1,C470,2.7,4.6,17.5,34.5,555.0,909.0,555.0,559.6,63.9556
1,C568,1.5,4.2,20.0,30.0,510.0,840.0,565.78,569.98,69.1034
1,C435,2.6,4.0,33.5,42.5,570.0,1100.0,592.06,596.06,87.5018
1,C075,2.4,4.0,22.5,32.5,615.0,891.0,615.0,619.0,102.3679
1,C388,3.0,1.8,13.0,26.0,405.0,654.0,632.81,634.61,113.8787
1,C389,3.5,3.0,13.0,17.5,630.0,1189.0,644.81,647.81,122.3787
1,C259,3.5,5.6,10.5,12.0,645.0,937.0,655.06,660.66,128.4203
1,C213,4.2,4.6,15.0,12.5,645.0,1172.0,666.1,670.7,132.9479
1,C044,2.6,2.0,16.0,15.0,600.0,887.0,673.93,675.93,135.6405
1,C141,3.2,2.0,17.5,16.0,510.0,761.0,678.09,680.09,137.4433
1,C148,1.9,2.0,18.0,20.0,555.0,897.0,684.93,686.93,141.4744
1,C465,3.1,3.2,17.5,20.0,645.0,1114.0,687.53,690.73,141.9744
1,C074,1.8,10.0,26.5,17.5,615.0,991.0,701.94,711.94,151.3152
1,C495,2.1,1.2,28.0,18.5,690.0,1123.0,714.1,715.3,153.118
1,C229,1.7,1.8,32.0,21.0,615.0,1009.0,720.96,722.76,157.835
1,C550,2.4,6.0,36.0,17.5,630.0,1054.0,729.14,735.14,163.15
1,C080,3.1,2.0,42.5,12.5,660.0,946.0,744.98,746.98,171.3507
1,C077,2.7,2.0,44.0,15.0,600.0,1079.0,750.48,752.48,174.2661
1,C534,2.5,6.0,42.5,17.5,600.0,878.0,755.98,761.98,177.1816
1,C078,1.5,4.0,44.0,17.5,765.0,1084.0,765.0,769.0,178.6816
1,C186,3.0,2.0,33.0,27.5,615.0,990.0,786.84,788.84,193.5477
1,C234,1.3,2.8,32.5,27.5,645.0,894.0,789.44,792.24,194.0477
1,C379,0.0,4.6,28.5,24.0,675.0,1082.0,798.62,803.22,199.3627
1,C580,5.6,2.6,23.5,23.5,645.0,1163.0,809.25,811.85,204.3877
1,C250,2.8,2.6,23.5,23.5,705.0,979.0,811.85,814.45,204.3877
