day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor
1,C403,1.0,2.0,11.0,42.5
1,C497,2.3,7.0,2.0,9.0
1,C238,0.0,3.2,2.5,2.5
1,C553,2.3,1.0,10.0,25.0
1,C034,2.8,4.0,4.0,22.5
1,C442,5.0,2.0,27.5,40.0
1,C564,2.0,3.4,22.5,15.0
1,C538,2.1,6.0,31.0,40.0
1,C104,2.1,2.0,30.0,33.0
1,C408,2.4,2.0,7.5,40.0
1,C562,4.0,0.6,32.5,17.5
1,C200,2.0,4.0,27.5,42.5
1,C530,4.1,2.0,44.0,15.0
1,C071,2.8,4.0,47.5,17.5
1,C304,2.0,3.8,27.5,10.0
1,C194,1.9,2.0,32.5,41.0
1,C030,2.8,2.0,10.0,27.5
1,C134,1.3,4.0,4.0,22.5
2,C584,4.5,3.6,28.5,14.5
2,C109,3.1,2.0,14.0,35.0
2,C063,1.8,10.0,25.0,20.0
2,C203,2.5,2.6,27.5,22.5
2,C432,2.7,2.0,43.5,15.0
2,C232,3.3,4.6,17.5,34.5
2,C181,1.3,6.0,42.5,17.5
2,C247,0.8,5.4,4.0,28.0
2,C450,5.7,6.0,36.0,17.5
2,C149,4.0,2.0,24.0,10.0
2,C406,3.7,4.0,9.0,37.5
2,C158,1.7,6.0,19.0,2.5
2,C539,1.9,2.0,30.0,40.0
2,C372,0.0,5.0,23.5,8.0
2,C553,2.3,1.0,10.0,25.0
2,C436,2.0,8.0,32.5,42.5
2,C542,0.8,2.0,27.5,40.0
2,C225,2.2,1.2,32.5,10.0
2,C007,3.3,4.0,20.0,33.0
2,C567,1.2,1.8,32.0,21.0
2,C592,2.8,2.8,26.5,21.5
2,C349,1.7,6.0,3.0,34.0
2,C402,3.0,6.0,11.0,37.5
2,C176,3.6,2.0,45.0,17.5
2,C426,2.3,6.0,47.5,15.0
2,C595,2.4,1.2,28.0,18.5
2,C354,2.9,3.6,28.5,14.5
2,C408,2.4,2.0,7.5,40.0
2,C561,0.4,1.8,22.5,32.5
2,C107,2.1,4.0,29.0,35.0
2,C562,4.0,0.6,32.5,17.5
2,C108,1.3,4.0,17.0,30.0
2,C081,4.1,6.0,42.5,17.5
2,C452,1.3,0.6,12.5,15.0
2,C071,2.8,4.0,47.5,17.5
2,C006,2.5,4.0,20.0,34.5
2,C405,3.1,4.0,10.0,42.5
2,C290,1.0,0.6,15.5,33.5
2,C378,1.8,0.6,30.5,26.0
2,C281,2.5,5.2,27.5,27.0
2,C424,2.9,2.0,19.0,7.5
2,C142,1.7,4.0,16.5,16.0
2,C094,3.0,2.0,32.5,41.0
2,C096,1.4,2.0,30.0,40.0
2,C196,2.8,2.0,31.0,20.0
2,C422,0.9,8.0,20.0,7.5
3,C452,1.3,0.6,12.5,15.0
3,C564,2.0,3.4,22.5,15.0
3,C396,2.4,2.2,11.0,13.5
3,C576,3.8,6.2,30.0,6.0
3,C368,2.3,7.2,28.0,19.5
3,C261,2.4,2.6,6.0,12.0
3,C597,2.9,7.0,2.0,9.0
3,C430,2.1,2.0,44.0,15.0
3,C440,2.9,6.0,30.0,42.5
3,C429,1.8,2.0,45.0,17.5
3,C427,0.7,4.0,47.5,17.5
3,C160,2.7,4.0,17.5,2.5
3,C171,2.9,4.0,47.5,17.5
3,C356,3.2,1.2,26.5,6.0
3,C271,2.2,3.0,28.5,34.0
3,C035,2.1,2.0,2.5,17.5
3,C423,2.5,6.0,19.0,2.5
3,C398,1.9,2.0,9.5,10.5
3,C415,2.9,4.0,1.0,20.0
3,C034,2.8,4.0,4.0,22.5
3,C446,2.1,2.0,9.0,40.0
3,C442,5.0,2.0,27.5,40.0
3,C067,2.2,2.0,23.5,20.0
3,C215,1.6,1.6,15.0,2.5
3,C273,0.8,1.8,22.0,8.5
3,C319,1.5,3.4,7.5,30.0
3,C381,2.9,5.2,27.5,27.0
3,C223,1.0,5.8,27.5,2.5
3,C367,2.8,5.0,33.5,2.5
3,C527,2.7,4.0,47.5,17.5
4,C502,0.4,6.0,11.0,37.5
4,C156,2.1,6.0,20.0,2.5
4,C155,3.5,2.0,21.0,7.5
4,C526,4.0,6.0,47.5,15.0
4,C538,2.1,6.0,31.0,40.0
4,C163,3.3,10.0,25.0,20.0
4,C006,2.5,4.0,20.0,34.5
4,C115,2.0,8.0,10.0,40.0
4,C189,2.0,2.0,28.0,32.0
4,C268,3.1,7.2,28.0,19.5
4,C427,0.7,4.0,47.5,17.5
4,C281,2.5,5.2,27.5,27.0
4,C183,2.1,2.0,36.0,27.5
4,C117,2.1,4.0,9.0,37.5
4,C238,0.0,3.2,2.5,2.5
4,C444,3.3,2.0,27.5,41.0
4,C179,3.3,2.0,43.5,15.0
4,C600,2.0,0.6,15.5,33.5
4,C247,0.8,5.4,4.0,28.0
4,C428,1.6,2.0,46.0,15.0
4,C364,1.9,1.8,7.5,38.5
