day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,window_start,window_end,service_start,service_end,distance_moved
1,DEPOT,0.0,0,0.0,0.0,,,0.0,0.0,0.0
1,C251,3.4,10,6.6124,12.499,424.0,815.0,424.0,434.0,14.1403
1,C106,4.3,7,10.4638,-2.2233,440.0,888.0,452.26,459.26,29.3581
1,C284,4.8,10,8.3873,8.3514,446.0,1034.0,472.19,482.19,40.1347
1,C182,0.6,7,8.6677,9.5455,465.0,1062.0,483.67,490.67,41.3613
1,C017,2.7,10,6.889,9.5266,477.0,844.0,492.8,502.8,43.1401
1,C218,4.4,7,7.7234,9.1566,510.0,690.0,510.0,517.0,44.0528
1,C294,3.4,7,7.6771,9.3612,510.0,690.0,517.25,524.25,44.2626
1,C053,0.8,7,8.1435,9.645,510.0,690.0,524.91,531.91,44.8086
1,C249,2.0,10,8.1103,9.0294,529.0,1100.0,532.65,542.65,45.4251
1,C134,1.7,10,8.5265,10.0032,510.0,690.0,543.92,553.92,46.4841
1,C276,4.1,5,8.4619,10.0797,510.0,690.0,554.04,559.04,46.5842
1,C297,2.5,7,8.5242,11.5551,510.0,690.0,560.81,567.81,48.0609
1,C122,0.7,5,7.9441,10.8188,510.0,690.0,568.93,573.93,48.9983
1,C194,2.0,5,7.5265,10.4947,510.0,690.0,574.57,579.57,49.5269
1,C061,5.0,5,6.0933,9.9573,510.0,690.0,581.41,586.41,51.0575
1,C055,0.9,5,6.833,9.3573,510.0,690.0,587.55,592.55,52.01
1,C033,2.6,10,6.8617,9.1283,574.0,1144.0,592.83,602.83,52.2408
1,C224,2.2,10,7.011,9.3299,592.0,986.0,603.13,613.13,52.4916
1,C205,1.1,7,7.1408,11.0709,592.0,1079.0,615.22,622.22,54.2375
1,C204,4.4,10,6.8601,11.6683,510.0,690.0,623.01,633.01,54.8975
1,C071,3.7,10,5.9263,11.8505,510.0,690.0,634.16,644.16,55.8489
